"","X","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","fec.flower","N_pods","seedling","per.leaves.dam","herb_avg"
"3170",3967,2015,"BLD1",42,"1579",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3171",3968,2015,"BLD1",42,"1584",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3172",3969,2015,"BLD1",42,"1582",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3173",3970,2015,"BLD1",42,"248",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3174",3971,2015,"BLD1",42,"1557",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3175",3972,2015,"BLD1",42,"4129",NA,94.2,NA,NA,0,0,NA,NA,NA
"3176",3973,2015,"BLD1",42,"251",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3177",3974,2015,"BLD1",42,"1573",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3178",3975,2015,"BLD1",42,"1578",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3179",3976,2015,"BLD1",42,"252",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3180",3977,2015,"BLD1",42,"1572",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3181",3978,2015,"BLD1",42,"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3182",3979,2015,"BLD1",42,"253",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3183",3980,2015,"BLD1",42,"1556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3184",3981,2015,"BLD1",42,"1468",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3185",3982,2015,"BLD1",42,"1467",NA,77.5,NA,NA,0,0,NA,NA,NA
"3186",3983,2015,"BLD1",42,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3187",3984,2015,"BLD1",42,"1469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3188",3985,2015,"BLD1",42,"369",NA,NA,NA,NA,NA,NA,NA,NA,NA
